1.00%,Tolerance,,,,,,
Value,Description,MFG #1,P/N #1,MFG #2,P/N #2,MFG #3,P/N #3
1R4,"Res, 1R4 Ohm, 1R37, 62.5mW, R0402",Yageo,RC0402FR-071R4L,Panasonic,ERJ-U02F1R40X,Koa-Speer,RK73H1ETTP1R40F
1R43,"Res, 1R43 Ohm, 1R4, 62.5mW, R0402",Yageo,RC0402FR-071R43L,Panasonic,ERJ-U02F1R43X,Koa-Speer,RK73H1ETTP1R43F
1R47,"Res, 1R47 Ohm, 1R43, 62.5mW, R0402",Yageo,RC0402FR-071R47L,Panasonic,ERJ-U02F1R47X,Koa-Speer,RK73H1ETTP1R47F
1R5,"Res, 1R5 Ohm, 1R47, 62.5mW, R0402",Yageo,RC0402FR-071R5L,Panasonic,ERJ-U02F1R50X,Koa-Speer,RK73H1ETTP1R50F
1R54,"Res, 1R54 Ohm, 1R5, 62.5mW, R0402",Yageo,RC0402FR-071R54L,Panasonic,ERJ-U02F1R54X,Koa-Speer,RK73H1ETTP1R54F
1R58,"Res, 1R58 Ohm, 1R54, 62.5mW, R0402",Yageo,RC0402FR-071R58L,Panasonic,ERJ-U02F1R58X,Koa-Speer,RK73H1ETTP1R58F
1R62,"Res, 1R62 Ohm, 1R58, 62.5mW, R0402",Yageo,RC0402FR-071R62L,Panasonic,ERJ-U02F1R62X,Koa-Speer,RK73H1ETTP1R62F
1R65,"Res, 1R65 Ohm, 1R62, 62.5mW, R0402",Yageo,RC0402FR-071R65L,Panasonic,ERJ-U02F1R65X,Koa-Speer,RK73H1ETTP1R65F
1R69,"Res, 1R69 Ohm, 1R65, 62.5mW, R0402",Yageo,RC0402FR-071R69L,Panasonic,ERJ-U02F1R69X,Koa-Speer,RK73H1ETTP1R69F
1R74,"Res, 1R74 Ohm, 1R69, 62.5mW, R0402",Yageo,RC0402FR-071R74L,Panasonic,ERJ-U02F1R74X,Koa-Speer,RK73H1ETTP1R74F
1R78,"Res, 1R78 Ohm, 1R74, 62.5mW, R0402",Yageo,RC0402FR-071R78L,Panasonic,ERJ-U02F1R78X,Koa-Speer,RK73H1ETTP1R78F
1R82,"Res, 1R82 Ohm, 1R78, 62.5mW, R0402",Yageo,RC0402FR-071R82L,Panasonic,ERJ-U02F1R82X,Koa-Speer,RK73H1ETTP1R82F
1R87,"Res, 1R87 Ohm, 1R82, 62.5mW, R0402",Yageo,RC0402FR-071R87L,Panasonic,ERJ-U02F1R87X,Koa-Speer,RK73H1ETTP1R87F
1R91,"Res, 1R91 Ohm, 1R87, 62.5mW, R0402",Yageo,RC0402FR-071R91L,Panasonic,ERJ-U02F1R91X,Koa-Speer,RK73H1ETTP1R91F
1R96,"Res, 1R96 Ohm, 1R91, 62.5mW, R0402",Yageo,RC0402FR-071R96L,Panasonic,ERJ-U02F1R96X,Koa-Speer,RK73H1ETTP1R96F
2R,"Res, 2R Ohm, 1R96, 62.5mW, R0402",Yageo,RC0402FR-072RL,Panasonic,ERJ-U02F2R00X,Koa-Speer,RK73H1ETTP2R00F
2R05,"Res, 2R05 Ohm, 2R, 62.5mW, R0402",Yageo,RC0402FR-072R05L,Panasonic,ERJ-U02F2R05X,Koa-Speer,RK73H1ETTP2R05F
2R1,"Res, 2R1 Ohm, 2R05, 62.5mW, R0402",Yageo,RC0402FR-072R1L,Panasonic,ERJ-U02F2R10X,Koa-Speer,RK73H1ETTP2R10F
2R15,"Res, 2R15 Ohm, 2R1, 62.5mW, R0402",Yageo,RC0402FR-072R15L,Panasonic,ERJ-U02F2R15X,Koa-Speer,RK73H1ETTP2R15F
2R21,"Res, 2R21 Ohm, 2R15, 62.5mW, R0402",Yageo,RC0402FR-072R21L,Panasonic,ERJ-U02F2R21X,Koa-Speer,RK73H1ETTP2R21F
2R26,"Res, 2R26 Ohm, 2R21, 62.5mW, R0402",Yageo,RC0402FR-072R26L,Panasonic,ERJ-U02F2R26X,Koa-Speer,RK73H1ETTP2R26F
2R32,"Res, 2R32 Ohm, 2R26, 62.5mW, R0402",Yageo,RC0402FR-072R32L,Panasonic,ERJ-U02F2R32X,Koa-Speer,RK73H1ETTP2R32F
2R37,"Res, 2R37 Ohm, 2R32, 62.5mW, R0402",Yageo,RC0402FR-072R37L,Panasonic,ERJ-U02F2R37X,Koa-Speer,RK73H1ETTP2R37F
2R43,"Res, 2R43 Ohm, 2R37, 62.5mW, R0402",Yageo,RC0402FR-072R43L,Panasonic,ERJ-U02F2R43X,Koa-Speer,RK73H1ETTP2R43F
2R49,"Res, 2R49 Ohm, 2R43, 62.5mW, R0402",Yageo,RC0402FR-072R49L,Panasonic,ERJ-U02F2R49X,Koa-Speer,RK73H1ETTP2R49F
2R55,"Res, 2R55 Ohm, 2R49, 62.5mW, R0402",Yageo,RC0402FR-072R55L,Panasonic,ERJ-U02F2R55X,Koa-Speer,RK73H1ETTP2R55F
2R61,"Res, 2R61 Ohm, 2R55, 62.5mW, R0402",Yageo,RC0402FR-072R61L,Panasonic,ERJ-U02F2R61X,Koa-Speer,RK73H1ETTP2R61F
2R67,"Res, 2R67 Ohm, 2R61, 62.5mW, R0402",Yageo,RC0402FR-072R67L,Panasonic,ERJ-U02F2R67X,Koa-Speer,RK73H1ETTP2R67F
2R74,"Res, 2R74 Ohm, 2R67, 62.5mW, R0402",Yageo,RC0402FR-072R74L,Panasonic,ERJ-U02F2R74X,Koa-Speer,RK73H1ETTP2R74F
2R8,"Res, 2R8 Ohm, 2R74, 62.5mW, R0402",Yageo,RC0402FR-072R8L,Panasonic,ERJ-U02F2R80X,Koa-Speer,RK73H1ETTP2R80F
2R87,"Res, 2R87 Ohm, 2R8, 62.5mW, R0402",Yageo,RC0402FR-072R87L,Panasonic,ERJ-U02F2R87X,Koa-Speer,RK73H1ETTP2R87F
2R94,"Res, 2R94 Ohm, 2R87, 62.5mW, R0402",Yageo,RC0402FR-072R94L,Panasonic,ERJ-U02F2R94X,Koa-Speer,RK73H1ETTP2R94F
3R01,"Res, 3R01 Ohm, 2R94, 62.5mW, R0402",Yageo,RC0402FR-073R01L,Panasonic,ERJ-U02F3R01X,Koa-Speer,RK73H1ETTP3R01F
3R09,"Res, 3R09 Ohm, 3R01, 62.5mW, R0402",Yageo,RC0402FR-073R09L,Panasonic,ERJ-U02F3R09X,Koa-Speer,RK73H1ETTP3R09F
3R16,"Res, 3R16 Ohm, 3R09, 62.5mW, R0402",Yageo,RC0402FR-073R16L,Panasonic,ERJ-U02F3R16X,Koa-Speer,RK73H1ETTP3R16F
3R24,"Res, 3R24 Ohm, 3R16, 62.5mW, R0402",Yageo,RC0402FR-073R24L,Panasonic,ERJ-U02F3R24X,Koa-Speer,RK73H1ETTP3R24F
3R32,"Res, 3R32 Ohm, 3R24, 62.5mW, R0402",Yageo,RC0402FR-073R32L,Panasonic,ERJ-U02F3R32X,Koa-Speer,RK73H1ETTP3R32F
3R4,"Res, 3R4 Ohm, 3R32, 62.5mW, R0402",Yageo,RC0402FR-073R4L,Panasonic,ERJ-U02F3R40X,Koa-Speer,RK73H1ETTP3R40F
3R48,"Res, 3R48 Ohm, 3R4, 62.5mW, R0402",Yageo,RC0402FR-073R48L,Panasonic,ERJ-U02F3R48X,Koa-Speer,RK73H1ETTP3R48F
3R57,"Res, 3R57 Ohm, 3R48, 62.5mW, R0402",Yageo,RC0402FR-073R57L,Panasonic,ERJ-U02F3R57X,Koa-Speer,RK73H1ETTP3R57F
3R65,"Res, 3R65 Ohm, 3R57, 62.5mW, R0402",Yageo,RC0402FR-073R65L,Panasonic,ERJ-U02F3R65X,Koa-Speer,RK73H1ETTP3R65F
3R74,"Res, 3R74 Ohm, 3R65, 62.5mW, R0402",Yageo,RC0402FR-073R74L,Panasonic,ERJ-U02F3R74X,Koa-Speer,RK73H1ETTP3R74F
3R83,"Res, 3R83 Ohm, 3R74, 62.5mW, R0402",Yageo,RC0402FR-073R83L,Panasonic,ERJ-U02F3R83X,Koa-Speer,RK73H1ETTP3R83F
3R92,"Res, 3R92 Ohm, 3R83, 62.5mW, R0402",Yageo,RC0402FR-073R92L,Panasonic,ERJ-U02F3R92X,Koa-Speer,RK73H1ETTP3R92F
4R02,"Res, 4R02 Ohm, 3R92, 62.5mW, R0402",Yageo,RC0402FR-074R02L,Panasonic,ERJ-U02F4R02X,Koa-Speer,RK73H1ETTP4R02F
4R12,"Res, 4R12 Ohm, 4R02, 62.5mW, R0402",Yageo,RC0402FR-074R12L,Panasonic,ERJ-U02F4R12X,Koa-Speer,RK73H1ETTP4R12F
4R22,"Res, 4R22 Ohm, 4R12, 62.5mW, R0402",Yageo,RC0402FR-074R22L,Panasonic,ERJ-U02F4R22X,Koa-Speer,RK73H1ETTP4R22F
4R32,"Res, 4R32 Ohm, 4R22, 62.5mW, R0402",Yageo,RC0402FR-074R32L,Panasonic,ERJ-U02F4R32X,Koa-Speer,RK73H1ETTP4R32F
4R42,"Res, 4R42 Ohm, 4R32, 62.5mW, R0402",Yageo,RC0402FR-074R42L,Panasonic,ERJ-U02F4R42X,Koa-Speer,RK73H1ETTP4R42F
4R53,"Res, 4R53 Ohm, 4R42, 62.5mW, R0402",Yageo,RC0402FR-074R53L,Panasonic,ERJ-U02F4R53X,Koa-Speer,RK73H1ETTP4R53F
4R64,"Res, 4R64 Ohm, 4R53, 62.5mW, R0402",Yageo,RC0402FR-074R64L,Panasonic,ERJ-U02F4R64X,Koa-Speer,RK73H1ETTP4R64F
4R75,"Res, 4R75 Ohm, 4R64, 62.5mW, R0402",Yageo,RC0402FR-074R75L,Panasonic,ERJ-U02F4R75X,Koa-Speer,RK73H1ETTP4R75F
4R87,"Res, 4R87 Ohm, 4R75, 62.5mW, R0402",Yageo,RC0402FR-074R87L,Panasonic,ERJ-U02F4R87X,Koa-Speer,RK73H1ETTP4R87F
4R99,"Res, 4R99 Ohm, 4R87, 62.5mW, R0402",Yageo,RC0402FR-074R99L,Panasonic,ERJ-U02F4R99X,Koa-Speer,RK73H1ETTP4R99F
5R11,"Res, 5R11 Ohm, 4R99, 62.5mW, R0402",Yageo,RC0402FR-075R11L,Panasonic,ERJ-U02F5R11X,Koa-Speer,RK73H1ETTP5R11F
5R23,"Res, 5R23 Ohm, 5R11, 62.5mW, R0402",Yageo,RC0402FR-075R23L,Panasonic,ERJ-U02F5R23X,Koa-Speer,RK73H1ETTP5R23F
5R36,"Res, 5R36 Ohm, 5R23, 62.5mW, R0402",Yageo,RC0402FR-075R36L,Panasonic,ERJ-U02F5R36X,Koa-Speer,RK73H1ETTP5R36F
5R49,"Res, 5R49 Ohm, 5R36, 62.5mW, R0402",Yageo,RC0402FR-075R49L,Panasonic,ERJ-U02F5R49X,Koa-Speer,RK73H1ETTP5R49F
5R62,"Res, 5R62 Ohm, 5R49, 62.5mW, R0402",Yageo,RC0402FR-075R62L,Panasonic,ERJ-U02F5R62X,Koa-Speer,RK73H1ETTP5R62F
5R76,"Res, 5R76 Ohm, 5R62, 62.5mW, R0402",Yageo,RC0402FR-075R76L,Panasonic,ERJ-U02F5R76X,Koa-Speer,RK73H1ETTP5R76F
5R9,"Res, 5R9 Ohm, 5R76, 62.5mW, R0402",Yageo,RC0402FR-075R9L,Panasonic,ERJ-U02F5R90X,Koa-Speer,RK73H1ETTP5R90F
6R04,"Res, 6R04 Ohm, 5R9, 62.5mW, R0402",Yageo,RC0402FR-076R04L,Panasonic,ERJ-U02F6R04X,Koa-Speer,RK73H1ETTP6R04F
6R19,"Res, 6R19 Ohm, 6R04, 62.5mW, R0402",Yageo,RC0402FR-076R19L,Panasonic,ERJ-U02F6R19X,Koa-Speer,RK73H1ETTP6R19F
6R34,"Res, 6R34 Ohm, 6R19, 62.5mW, R0402",Yageo,RC0402FR-076R34L,Panasonic,ERJ-U02F6R34X,Koa-Speer,RK73H1ETTP6R34F
6R49,"Res, 6R49 Ohm, 6R34, 62.5mW, R0402",Yageo,RC0402FR-076R49L,Panasonic,ERJ-U02F6R49X,Koa-Speer,RK73H1ETTP6R49F
6R65,"Res, 6R65 Ohm, 6R49, 62.5mW, R0402",Yageo,RC0402FR-076R65L,Panasonic,ERJ-U02F6R65X,Koa-Speer,RK73H1ETTP6R65F
6R81,"Res, 6R81 Ohm, 6R65, 62.5mW, R0402",Yageo,RC0402FR-076R81L,Panasonic,ERJ-U02F6R81X,Koa-Speer,RK73H1ETTP6R81F
6R98,"Res, 6R98 Ohm, 6R81, 62.5mW, R0402",Yageo,RC0402FR-076R98L,Panasonic,ERJ-U02F6R98X,Koa-Speer,RK73H1ETTP6R98F
7R15,"Res, 7R15 Ohm, 6R98, 62.5mW, R0402",Yageo,RC0402FR-077R15L,Panasonic,ERJ-U02F7R15X,Koa-Speer,RK73H1ETTP7R15F
7R32,"Res, 7R32 Ohm, 7R15, 62.5mW, R0402",Yageo,RC0402FR-077R32L,Panasonic,ERJ-U02F7R32X,Koa-Speer,RK73H1ETTP7R32F
7R5,"Res, 7R5 Ohm, 7R32, 62.5mW, R0402",Yageo,RC0402FR-077R5L,Panasonic,ERJ-U02F7R50X,Koa-Speer,RK73H1ETTP7R50F
7R68,"Res, 7R68 Ohm, 7R5, 62.5mW, R0402",Yageo,RC0402FR-077R68L,Panasonic,ERJ-U02F7R68X,Koa-Speer,RK73H1ETTP7R68F
7R87,"Res, 7R87 Ohm, 7R68, 62.5mW, R0402",Yageo,RC0402FR-077R87L,Panasonic,ERJ-U02F7R87X,Koa-Speer,RK73H1ETTP7R87F
8R06,"Res, 8R06 Ohm, 7R87, 62.5mW, R0402",Yageo,RC0402FR-078R06L,Panasonic,ERJ-U02F8R06X,Koa-Speer,RK73H1ETTP8R06F
8R25,"Res, 8R25 Ohm, 8R06, 62.5mW, R0402",Yageo,RC0402FR-078R25L,Panasonic,ERJ-U02F8R25X,Koa-Speer,RK73H1ETTP8R25F
8R45,"Res, 8R45 Ohm, 8R25, 62.5mW, R0402",Yageo,RC0402FR-078R45L,Panasonic,ERJ-U02F8R45X,Koa-Speer,RK73H1ETTP8R45F
8R66,"Res, 8R66 Ohm, 8R45, 62.5mW, R0402",Yageo,RC0402FR-078R66L,Panasonic,ERJ-U02F8R66X,Koa-Speer,RK73H1ETTP8R66F
8R87,"Res, 8R87 Ohm, 8R66, 62.5mW, R0402",Yageo,RC0402FR-078R87L,Panasonic,ERJ-U02F8R87X,Koa-Speer,RK73H1ETTP8R87F
9R09,"Res, 9R09 Ohm, 8R87, 62.5mW, R0402",Yageo,RC0402FR-079R09L,Panasonic,ERJ-U02F9R09X,Koa-Speer,RK73H1ETTP9R09F
9R31,"Res, 9R31 Ohm, 9R09, 62.5mW, R0402",Yageo,RC0402FR-079R31L,Panasonic,ERJ-U02F9R31X,Koa-Speer,RK73H1ETTP9R31F
9R53,"Res, 9R53 Ohm, 9R31, 62.5mW, R0402",Yageo,RC0402FR-079R53L,Panasonic,ERJ-U02F9R53X,Koa-Speer,RK73H1ETTP9R53F
9R76,"Res, 9R76 Ohm, 9R53, 62.5mW, R0402",Yageo,RC0402FR-079R76L,Panasonic,ERJ-U02F9R76X,Koa-Speer,RK73H1ETTP9R76F
10R,"Res, 10R Ohm, 9R76, 62.5mW, R0402",Yageo,RC0402FR-0710RL,Panasonic,ERJ-U02F10R0X,Koa-Speer,RK73H1ETTP10R0F
10R2,"Res, 10R2 Ohm, 10R, 62.5mW, R0402",Yageo,RC0402FR-0710R2L,Panasonic,ERJ-U02F10R2X,Koa-Speer,RK73H1ETTP10R2F
10R5,"Res, 10R5 Ohm, 10R2, 62.5mW, R0402",Yageo,RC0402FR-0710R5L,Panasonic,ERJ-U02F10R5X,Koa-Speer,RK73H1ETTP10R5F
10R7,"Res, 10R7 Ohm, 10R5, 62.5mW, R0402",Yageo,RC0402FR-0710R7L,Panasonic,ERJ-U02F10R7X,Koa-Speer,RK73H1ETTP10R7F
11R,"Res, 11R Ohm, 10R7, 62.5mW, R0402",Yageo,RC0402FR-0711RL,Panasonic,ERJ-U02F11R0X,Koa-Speer,RK73H1ETTP11R0F
11R3,"Res, 11R3 Ohm, 11R, 62.5mW, R0402",Yageo,RC0402FR-0711R3L,Panasonic,ERJ-U02F11R3X,Koa-Speer,RK73H1ETTP11R3F
11R5,"Res, 11R5 Ohm, 11R3, 62.5mW, R0402",Yageo,RC0402FR-0711R5L,Panasonic,ERJ-U02F11R5X,Koa-Speer,RK73H1ETTP11R5F
11R8,"Res, 11R8 Ohm, 11R5, 62.5mW, R0402",Yageo,RC0402FR-0711R8L,Panasonic,ERJ-U02F11R8X,Koa-Speer,RK73H1ETTP11R8F
12R1,"Res, 12R1 Ohm, 11R8, 62.5mW, R0402",Yageo,RC0402FR-0712R1L,Panasonic,ERJ-U02F12R1X,Koa-Speer,RK73H1ETTP12R1F
12R4,"Res, 12R4 Ohm, 12R1, 62.5mW, R0402",Yageo,RC0402FR-0712R4L,Panasonic,ERJ-U02F12R4X,Koa-Speer,RK73H1ETTP12R4F
12R7,"Res, 12R7 Ohm, 12R4, 62.5mW, R0402",Yageo,RC0402FR-0712R7L,Panasonic,ERJ-U02F12R7X,Koa-Speer,RK73H1ETTP12R7F
13R,"Res, 13R Ohm, 12R7, 62.5mW, R0402",Yageo,RC0402FR-0713RL,Panasonic,ERJ-U02F13R0X,Koa-Speer,RK73H1ETTP13R0F
13R3,"Res, 13R3 Ohm, 13R, 62.5mW, R0402",Yageo,RC0402FR-0713R3L,Panasonic,ERJ-U02F13R3X,Koa-Speer,RK73H1ETTP13R3F
13R7,"Res, 13R7 Ohm, 13R3, 62.5mW, R0402",Yageo,RC0402FR-0713R7L,Panasonic,ERJ-U02F13R7X,Koa-Speer,RK73H1ETTP13R7F
14R,"Res, 14R Ohm, 13R7, 62.5mW, R0402",Yageo,RC0402FR-0714RL,Panasonic,ERJ-U02F14R0X,Koa-Speer,RK73H1ETTP14R0F
14R3,"Res, 14R3 Ohm, 14R, 62.5mW, R0402",Yageo,RC0402FR-0714R3L,Panasonic,ERJ-U02F14R3X,Koa-Speer,RK73H1ETTP14R3F
14R7,"Res, 14R7 Ohm, 14R3, 62.5mW, R0402",Yageo,RC0402FR-0714R7L,Panasonic,ERJ-U02F14R7X,Koa-Speer,RK73H1ETTP14R7F
15R,"Res, 15R Ohm, 14R7, 62.5mW, R0402",Yageo,RC0402FR-0715RL,Panasonic,ERJ-U02F15R0X,Koa-Speer,RK73H1ETTP15R0F
15R4,"Res, 15R4 Ohm, 15R, 62.5mW, R0402",Yageo,RC0402FR-0715R4L,Panasonic,ERJ-U02F15R4X,Koa-Speer,RK73H1ETTP15R4F
15R8,"Res, 15R8 Ohm, 15R4, 62.5mW, R0402",Yageo,RC0402FR-0715R8L,Panasonic,ERJ-U02F15R8X,Koa-Speer,RK73H1ETTP15R8F
16R2,"Res, 16R2 Ohm, 15R8, 62.5mW, R0402",Yageo,RC0402FR-0716R2L,Panasonic,ERJ-U02F16R2X,Koa-Speer,RK73H1ETTP16R2F
16R5,"Res, 16R5 Ohm, 16R2, 62.5mW, R0402",Yageo,RC0402FR-0716R5L,Panasonic,ERJ-U02F16R5X,Koa-Speer,RK73H1ETTP16R5F
16R9,"Res, 16R9 Ohm, 16R5, 62.5mW, R0402",Yageo,RC0402FR-0716R9L,Panasonic,ERJ-U02F16R9X,Koa-Speer,RK73H1ETTP16R9F
17R4,"Res, 17R4 Ohm, 16R9, 62.5mW, R0402",Yageo,RC0402FR-0717R4L,Panasonic,ERJ-U02F17R4X,Koa-Speer,RK73H1ETTP17R4F
17R8,"Res, 17R8 Ohm, 17R4, 62.5mW, R0402",Yageo,RC0402FR-0717R8L,Panasonic,ERJ-U02F17R8X,Koa-Speer,RK73H1ETTP17R8F
18R2,"Res, 18R2 Ohm, 17R8, 62.5mW, R0402",Yageo,RC0402FR-0718R2L,Panasonic,ERJ-U02F18R2X,Koa-Speer,RK73H1ETTP18R2F
18R7,"Res, 18R7 Ohm, 18R2, 62.5mW, R0402",Yageo,RC0402FR-0718R7L,Panasonic,ERJ-U02F18R7X,Koa-Speer,RK73H1ETTP18R7F
19R1,"Res, 19R1 Ohm, 18R7, 62.5mW, R0402",Yageo,RC0402FR-0719R1L,Panasonic,ERJ-U02F19R1X,Koa-Speer,RK73H1ETTP19R1F
19R6,"Res, 19R6 Ohm, 19R1, 62.5mW, R0402",Yageo,RC0402FR-0719R6L,Panasonic,ERJ-U02F19R6X,Koa-Speer,RK73H1ETTP19R6F
20R,"Res, 20R Ohm, 19R6, 62.5mW, R0402",Yageo,RC0402FR-0720RL,Panasonic,ERJ-U02F20R0X,Koa-Speer,RK73H1ETTP20R0F
20R5,"Res, 20R5 Ohm, 20R, 62.5mW, R0402",Yageo,RC0402FR-0720R5L,Panasonic,ERJ-U02F20R5X,Koa-Speer,RK73H1ETTP20R5F
21R,"Res, 21R Ohm, 20R5, 62.5mW, R0402",Yageo,RC0402FR-0721RL,Panasonic,ERJ-U02F21R0X,Koa-Speer,RK73H1ETTP21R0F
21R5,"Res, 21R5 Ohm, 21R, 62.5mW, R0402",Yageo,RC0402FR-0721R5L,Panasonic,ERJ-U02F21R5X,Koa-Speer,RK73H1ETTP21R5F
22R1,"Res, 22R1 Ohm, 21R5, 62.5mW, R0402",Yageo,RC0402FR-0722R1L,Panasonic,ERJ-U02F22R1X,Koa-Speer,RK73H1ETTP22R1F
22R6,"Res, 22R6 Ohm, 22R1, 62.5mW, R0402",Yageo,RC0402FR-0722R6L,Panasonic,ERJ-U02F22R6X,Koa-Speer,RK73H1ETTP22R6F
23R2,"Res, 23R2 Ohm, 22R6, 62.5mW, R0402",Yageo,RC0402FR-0723R2L,Panasonic,ERJ-U02F23R2X,Koa-Speer,RK73H1ETTP23R2F
23R7,"Res, 23R7 Ohm, 23R2, 62.5mW, R0402",Yageo,RC0402FR-0723R7L,Panasonic,ERJ-U02F23R7X,Koa-Speer,RK73H1ETTP23R7F
24R3,"Res, 24R3 Ohm, 23R7, 62.5mW, R0402",Yageo,RC0402FR-0724R3L,Panasonic,ERJ-U02F24R3X,Koa-Speer,RK73H1ETTP24R3F
24R9,"Res, 24R9 Ohm, 24R3, 62.5mW, R0402",Yageo,RC0402FR-0724R9L,Panasonic,ERJ-U02F24R9X,Koa-Speer,RK73H1ETTP24R9F
25R5,"Res, 25R5 Ohm, 24R9, 62.5mW, R0402",Yageo,RC0402FR-0725R5L,Panasonic,ERJ-U02F25R5X,Koa-Speer,RK73H1ETTP25R5F
26R1,"Res, 26R1 Ohm, 25R5, 62.5mW, R0402",Yageo,RC0402FR-0726R1L,Panasonic,ERJ-U02F26R1X,Koa-Speer,RK73H1ETTP26R1F
26R7,"Res, 26R7 Ohm, 26R1, 62.5mW, R0402",Yageo,RC0402FR-0726R7L,Panasonic,ERJ-U02F26R7X,Koa-Speer,RK73H1ETTP26R7F
27R4,"Res, 27R4 Ohm, 26R7, 62.5mW, R0402",Yageo,RC0402FR-0727R4L,Panasonic,ERJ-U02F27R4X,Koa-Speer,RK73H1ETTP27R4F
28R,"Res, 28R Ohm, 27R4, 62.5mW, R0402",Yageo,RC0402FR-0728RL,Panasonic,ERJ-U02F28R0X,Koa-Speer,RK73H1ETTP28R0F
28R7,"Res, 28R7 Ohm, 28R, 62.5mW, R0402",Yageo,RC0402FR-0728R7L,Panasonic,ERJ-U02F28R7X,Koa-Speer,RK73H1ETTP28R7F
29R4,"Res, 29R4 Ohm, 28R7, 62.5mW, R0402",Yageo,RC0402FR-0729R4L,Panasonic,ERJ-U02F29R4X,Koa-Speer,RK73H1ETTP29R4F
30R1,"Res, 30R1 Ohm, 29R4, 62.5mW, R0402",Yageo,RC0402FR-0730R1L,Panasonic,ERJ-U02F30R1X,Koa-Speer,RK73H1ETTP30R1F
30R9,"Res, 30R9 Ohm, 30R1, 62.5mW, R0402",Yageo,RC0402FR-0730R9L,Panasonic,ERJ-U02F30R9X,Koa-Speer,RK73H1ETTP30R9F
31R6,"Res, 31R6 Ohm, 30R9, 62.5mW, R0402",Yageo,RC0402FR-0731R6L,Panasonic,ERJ-U02F31R6X,Koa-Speer,RK73H1ETTP31R6F
32R4,"Res, 32R4 Ohm, 31R6, 62.5mW, R0402",Yageo,RC0402FR-0732R4L,Panasonic,ERJ-U02F32R4X,Koa-Speer,RK73H1ETTP32R4F
33R2,"Res, 33R2 Ohm, 32R4, 62.5mW, R0402",Yageo,RC0402FR-0733R2L,Panasonic,ERJ-U02F33R2X,Koa-Speer,RK73H1ETTP33R2F
34R,"Res, 34R Ohm, 33R2, 62.5mW, R0402",Yageo,RC0402FR-0734RL,Panasonic,ERJ-U02F34R0X,Koa-Speer,RK73H1ETTP34R0F
34R8,"Res, 34R8 Ohm, 34R, 62.5mW, R0402",Yageo,RC0402FR-0734R8L,Panasonic,ERJ-U02F34R8X,Koa-Speer,RK73H1ETTP34R8F
35R7,"Res, 35R7 Ohm, 34R8, 62.5mW, R0402",Yageo,RC0402FR-0735R7L,Panasonic,ERJ-U02F35R7X,Koa-Speer,RK73H1ETTP35R7F
