Value_Code,Value,Symbol,Dielectric,Voltage,Tolerance,MFG #1,P/N #1,MFG #2,P/N #2,MFG #3,P/N #3
102,1nF,C0805NPOJ50V_1nF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN102,Kemet,C0805C102J5GACTU,Murata,GRM2165C1H102JA01D
152,1.5nF,C0805NPOJ50V_1.5nF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN152,Kemet,C0805C152J5GACTU,Murata,GRM2165C1H152JA01D
222,2.2nF,C0805NPOJ50V_2.2nF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN222,Kemet,C0805C222J5GACTU,Murata,GRM2165C1H222JA01D
272,2.7nF,C0805NPOJ50V_2.7nF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN272,Kemet,C0805C272J5GACTU,Murata,GRM2165C1H272JA01D
332,3.3nF,C0805NPOJ50V_3.3nF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN332,Kemet,C0805C332J5GACTU,Murata,GRM2165C1H332JA01D
392,3.9nF,C0805NPOJ50V_3.9nF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN392,Kemet,C0805C392J5GACTU,Murata,GRM2165C1H392JA01D
472,4.7nF,C0805NPOJ50V_4.7nF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN472,Kemet,C0805C472J5GACTU,Murata,GRM2165C1H472JA01D
562,5.6nF,C0805NPOJ50V_5.6nF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN562,Kemet,C0805C562J5GACTU,Murata,GRM2165C1H562JA01D
682,6.8nF,C0805NPOJ50V_6.8nF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN682,Kemet,C0805C682J5GACTU,Murata,GRM2165C1H682JA01D
822,8.2nF,C0805NPOJ50V_8.2nF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN822,Kemet,C0805C822J5GACTU,Murata,GRM2165C1H822JA01D
103,10nF,C0805NPOJ50V_10nF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN103,Kemet,C0805C103J5GACTU,Murata,GRM2165C1H103JA01D
102,1nF,C0805X7RK50V_1nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB102,Kemet,C0805C102K5RACTU,,
152,1.5nF,C0805X7RK50V_1.5nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB152,Kemet,C0805C152K5RACTU,,
222,2.2nF,C0805X7RK50V_2.2nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB222,Kemet,C0805C222K5RACTU,,
272,2.7nF,C0805X7RK50V_2.7nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB272,Kemet,C0805C272K5RACTU,,
332,3.3nF,C0805X7RK50V_3.3nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB332,Kemet,C0805C332K5RACTU,,
392,3.9nF,C0805X7RK50V_3.9nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB392,Kemet,C0805C392K5RACTU,,
472,4.7nF,C0805X7RK50V_4.7nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB472,Kemet,C0805C472K5RACTU,,
562,5.6nF,C0805X7RK50V_5.6nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB562,Kemet,C0805C562K5RACTU,,
682,6.8nF,C0805X7RK50V_6.8nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB682,Kemet,C0805C682K5RACTU,,
822,8.2nF,C0805X7RK50V_8.2nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB822,Kemet,C0805C822K5RACTU,,
103,10nF,C0805X7RK50V_10nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB103,Kemet,C0805C103K5RACTU,,
123,12nF,C0805X7RK50V_12nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB123,Kemet,C0805C123K5RACTU,,
153,15nF,C0805X7RK50V_15nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB153,Kemet,C0805C153K5RACTU,,
183,18nF,C0805X7RK50V_18nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB183,Kemet,C0805C183K5RACTU,,
223,22nF,C0805X7RK50V_22nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB223,Kemet,C0805C223K5RACTU,,
273,27nF,C0805X7RK50V_27nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB273,Kemet,C0805C273K5RACTU,,
333,33nF,C0805X7RK50V_33nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB333,Kemet,C0805C333K5RACTU,,
393,39nF,C0805X7RK50V_39nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB393,Kemet,C0805C393K5RACTU,,
473,47nF,C0805X7RK50V_47nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB473,Kemet,C0805C473K5RACTU,,
563,56nF,C0805X7RK50V_56nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB563,Kemet,C0805C563K5RACTU,,
683,68nF,C0805X7RK50V_68nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB683,Kemet,C0805C683K5RACTU,,
823,82nF,C0805X7RK50V_82nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB823,Kemet,C0805C823K5RACTU,,
104,100nF,C0805X7RK50V_100nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB104,Kemet,C0805C104K5RACTU,,
124,120nF,C0805X7RK50V_120nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB124,Kemet,C0805C124K5RACTU,,
154,150nF,C0805X7RK50V_150nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB154,Kemet,C0805C154K5RACTU,,
184,180nF,C0805X7RK50V_180nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB184,Kemet,C0805C184K5RACTU,,
224,220nF,C0805X7RK50V_220nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB224,Kemet,C0805C224K5RACTU,,
274,270nF,C0805X7RK50V_270nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB274,Kemet,C0805C274K5RACTU,,
334,330nF,C0805X7RK50V_330nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB334,Kemet,C0805C334K5RACTU,,
394,390nF,C0805X7RK50V_390nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB394,Kemet,C0805C394K5RACTU,,
474,470nF,C0805X7RK50V_470nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB474,Kemet,C0805C474K5RACTU,,
564,560nF,C0805X7RK50V_560nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB564,Kemet,C0805C564K5RACTU,,
684,680nF,C0805X7RK50V_680nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB684,Kemet,C0805C684K5RACTU,,
824,820nF,C0805X7RK50V_820nF,X7R,50V,10%,Yageo,CC0805KPX7R9BB824,Kemet,C0805C824K5RACTU,,
105,1uF,C0805X7RK50V_1uF,X7R,50V,10%,Yageo,CC0805KPX7R9BB105,Kemet,C0805C105K5RACTU,,
225,2.2uF,C0805X7RK50V_2.2uF,X7R,50V,10%,Yageo,CC0805KPX7R9BB225,Kemet,C0805C225K5RACAUTO,,
105,1uF,C0805X7RK25V_1uF,X7R,25V,10%,Yageo,CC0805KKX7R8BB105,Kemet,C0805X105K3RACTU,Murata,GRM219R71E105KA88J
475,4.7uF,C0805X7RK25V_4.7uF,X7R,25V,10%,Yageo,CC0805KKX7R8BB475,Kemet,C0805C475K3RACTU,Murata,GRM219C71E475KE21L
106,10uF,C0805X7RK25V_10uF,X7R,25V,10%,Yageo,CC0805KKX5R8BB106,Kemet,C0805C106K3RACTU,Murata,GRM21BC71E106KE11K
