Value_Code,Value,Symbol,Dielectric,Voltage,Tolerance,MFG #1,P/N #1,MFG #2,P/N #2,MFG #3,P/N #3
100,10pF,C0603NPOJ50V_10pF,NPO/COG,50V,5%,Murata,GRM1885C1H100JA01D,Kemet,C0603H100J5GACTU,Yageo,CC0603JRNPO9BN100
110,11pF,C0603NPOJ50V_11pF,NPO/COG,50V,5%,Murata,GRM1885C1H110JA01D,Kemet,C0603C110J3GACTU,Yageo,CC0603JRNPO9BN110
120,12pF,C0603NPOJ50V_12pF,NPO/COG,50V,5%,Murata,GRM1885C1H120JA01D,Kemet,C0603C120J3GACTU,Yageo,CC0603JRNPO9BN120
150,15pF,C0603NPOJ50V_15pF,NPO/COG,50V,5%,Murata,GRM1885C1H150JA01D,Kemet,C0603C150J3GACTU,Yageo,CC0603JRNPO9BN150
180,18pF,C0603NPOJ50V_18pF,NPO/COG,50V,5%,Murata,GRM1885C1H180JA01D,Kemet,C0603C180J3GACTU,Yageo,CC0603JRNPO9BN180
220,22pF,C0603NPOJ50V_22pF,NPO/COG,50V,5%,Murata,GRM1885C1H220JA01D,Kemet,C0603C220J3GACTU,Yageo,CC0603JRNPO9BN220
240,24pF,C0603NPOJ50V_24pF,NPO/COG,50V,5%,Murata,GRM1885C1H240JA01D,Kemet,C0603C240J3GACTU,Yageo,CC0603JRNPO9BN240
270,27pF,C0603NPOJ50V_27pF,NPO/COG,50V,5%,Murata,GRM1885C1H270JA01D,Kemet,C0603C270J3GACTU,Yageo,CC0603JRNPO9BN270
330,33pF,C0603NPOJ50V_33pF,NPO/COG,50V,5%,Murata,GRM1885C1H330JA01D,Kemet,C0603C330J3GACTU,Yageo,CC0603JRNPO9BN330
390,39pF,C0603NPOJ50V_39pF,NPO/COG,50V,5%,Murata,GRM1885C1H390JA01D,Kemet,C0603C390J3GACTU,Yageo,CC0603JRNPO9BN390
470,47pF,C0603NPOJ50V_47pF,NPO/COG,50V,5%,Murata,GRM1885C1H470JA01D,Kemet,C0603C470J3GACTU,Yageo,CC0603JRNPO9BN470
510,51pF,C0603NPOJ50V_51pF,NPO/COG,50V,5%,Murata,GRM1885C1H510JA01D,Kemet,C0603C510J3GACTU,Yageo,CC0603JRNPO9BN510
560,56pF,C0603NPOJ50V_56pF,NPO/COG,50V,5%,Murata,GRM1885C1H560JA01D,Kemet,C0603C560J3GACTU,Yageo,CC0603JRNPO9BN560
680,68pF,C0603NPOJ50V_68pF,NPO/COG,50V,5%,Murata,GRM1885C1H680JA01D,Kemet,C0603C680J3GACTU,Yageo,CC0603JRNPO9BN680
750,75pF,C0603NPOJ50V_75pF,NPO/COG,50V,5%,Murata,GRM1885C1H750JA01D,Kemet,C0603C750J3GACTU,Yageo,CC0603JRNPO9BN750
820,82pF,C0603NPOJ50V_82pF,NPO/COG,50V,5%,Murata,GRM1885C1H820JA01D,Kemet,C0603C820J3GACTU,Yageo,CC0603JRNPO9BN820
101,100pF,C0603NPOJ50V_100pF,NPO/COG,50V,5%,Murata,GRM1885C1H101JA01D,Kemet,C0603C101J3GACTU,Yageo,CC0603JRNPO9BN101
111,110pF,C0603NPOJ50V_110pF,NPO/COG,50V,5%,Murata,GRM1885C1H111JA01D,Kemet,C0603C111J3GACTU,Yageo,CC0603JRNPO9BN111
121,120pF,C0603NPOJ50V_120pF,NPO/COG,50V,5%,Murata,GRM1885C1H121JA01D,Kemet,C0603C121J3GACTU,Yageo,CC0603JRNPO9BN121
151,150pF,C0603NPOJ50V_150pF,NPO/COG,50V,5%,Murata,GRM1885C1H151JA01D,Kemet,C0603C151J3GACTU,Yageo,CC0603JRNPO9BN151
181,180pF,C0603NPOJ50V_180pF,NPO/COG,50V,5%,Murata,GRM1885C1H181JA01D,Kemet,C0603C181J3GACTU,Yageo,CC0603JRNPO9BN181
221,220pF,C0603NPOJ50V_220pF,NPO/COG,50V,5%,Murata,GRM1885C1H221JA01D,Kemet,C0603C221J3GACTU,Yageo,CC0603JRNPO9BN221
241,240pF,C0603NPOJ50V_240pF,NPO/COG,50V,5%,Murata,GRM1885C1H241JA01D,Kemet,C0603C241J3GACTU,Yageo,CC0603JRNPO9BN241
271,270pF,C0603NPOJ50V_270pF,NPO/COG,50V,5%,Murata,GRM1885C1H271JA01D,Kemet,C0603C271J3GACTU,Yageo,CC0603JRNPO9BN271
331,330pF,C0603NPOJ50V_330pF,NPO/COG,50V,5%,Murata,GRM1885C1H331JA01D,Kemet,C0603C331J3GACTU,Yageo,CC0603JRNPO9BN331
391,390pF,C0603NPOJ50V_390pF,NPO/COG,50V,5%,Murata,GRM1885C1H391JA01D,Kemet,C0603C391J3GACTU,Yageo,CC0603JRNPO9BN391
471,470pF,C0603NPOJ50V_470pF,NPO/COG,50V,5%,Murata,GRM1885C1H471JA01D,Kemet,C0603C471J3GACTU,Yageo,CC0603JRNPO9BN471
511,510pF,C0603NPOJ50V_510pF,NPO/COG,50V,5%,Murata,GRM1885C1H511JA01D,Kemet,C0603C511J3GACTU,Yageo,CC0603JRNPO9BN511
561,560pF,C0603NPOJ50V_560pF,NPO/COG,50V,5%,Murata,GRM1885C1H561JA01D,Kemet,C0603C561J3GACTU,Yageo,CC0603JRNPO9BN561
681,680pF,C0603NPOJ50V_680pF,NPO/COG,50V,5%,Murata,GRM1885C1H681JA01D,Kemet,C0603C681J3GACTU,Yageo,CC0603JRNPO9BN681
751,750pF,C0603NPOJ50V_750pF,NPO/COG,50V,5%,Murata,GRM1885C1H751JA01D,Kemet,C0603C751J3GACTU,Yageo,CC0603JRNPO9BN751
821,820pF,C0603NPOJ50V_820pF,NPO/COG,50V,5%,Murata,GRM1885C1H821JA01D,Kemet,C0603C821J3GACTU,Yageo,CC0603JRNPO9BN821
102,1nF,C0603NPOJ50V_1nF,NPO/COG,50V,5%,Murata,GRM1885C1H102JA01D,Kemet,C0603C102J3GACTU,Yageo,CC0603JRNPO9BN102
152,1.5nF,C0603NPOJ50V_1.5nF,NPO/COG,50V,5%,Murata,GRM1885C1H152JA01D,Kemet,C0603C152J3GACTU,Yageo,CC0603JRNPO9BN152
222,2.2nF,C0603NPOJ50V_2.2nF,NPO/COG,50V,5%,Murata,GRM1885C1H222JA01D,Kemet,C0603C222J3GACTU,Yageo,CC0603JRNPO9BN222
272,2.7nF,C0603NPOJ50V_2.7nF,NPO/COG,50V,5%,Murata,GRM1885C1H272JA01D,Kemet,C0603C272J3GACTU,Yageo,CC0603JRNPO9BN272
332,3.3nF,C0603NPOJ50V_3.3nF,NPO/COG,50V,5%,Murata,GRM1885C1H332JA01D,Kemet,C0603C332J3GACTU,Yageo,CC0603JRNPO9BN332
