1%,Tolerance,,,,,,
Value,Description,MFG #1,P/N #1,MFG #2,P/N #2,MFG #3,P/N #3
2R32,"Res, 2R32 Ohm, 2R26, 100mW, R0603",Yageo,RC0603FR-072R32P,Panasonic,ERJ-U03F2R32V,Koa-Speer,RK73H1JTTD2R32F
2R37,"Res, 2R37 Ohm, 2R32, 100mW, R0603",Yageo,RC0603FR-072R37P,Panasonic,ERJ-U03F2R37V,Koa-Speer,RK73H1JTTD2R37F
2R43,"Res, 2R43 Ohm, 2R37, 100mW, R0603",Yageo,RC0603FR-072R43P,Panasonic,ERJ-U03F2R43V,Koa-Speer,RK73H1JTTD2R43F
2R49,"Res, 2R49 Ohm, 2R43, 100mW, R0603",Yageo,RC0603FR-072R49P,Panasonic,ERJ-U03F2R49V,Koa-Speer,RK73H1JTTD2R49F
2R55,"Res, 2R55 Ohm, 2R49, 100mW, R0603",Yageo,RC0603FR-072R55P,Panasonic,ERJ-U03F2R55V,Koa-Speer,RK73H1JTTD2R55F
2R61,"Res, 2R61 Ohm, 2R55, 100mW, R0603",Yageo,RC0603FR-072R61P,Panasonic,ERJ-U03F2R61V,Koa-Speer,RK73H1JTTD2R61F
2R67,"Res, 2R67 Ohm, 2R61, 100mW, R0603",Yageo,RC0603FR-072R67P,Panasonic,ERJ-U03F2R67V,Koa-Speer,RK73H1JTTD2R67F
2R74,"Res, 2R74 Ohm, 2R67, 100mW, R0603",Yageo,RC0603FR-072R74P,Panasonic,ERJ-U03F2R74V,Koa-Speer,RK73H1JTTD2R74F
2R8,"Res, 2R8 Ohm, 2R74, 100mW, R0603",Yageo,RC0603FR-072R8P,Panasonic,ERJ-U03F2R80V,Koa-Speer,RK73H1JTTD2R80F
2R87,"Res, 2R87 Ohm, 2R8, 100mW, R0603",Yageo,RC0603FR-072R87P,Panasonic,ERJ-U03F2R87V,Koa-Speer,RK73H1JTTD2R87F
2R94,"Res, 2R94 Ohm, 2R87, 100mW, R0603",Yageo,RC0603FR-072R94P,Panasonic,ERJ-U03F2R94V,Koa-Speer,RK73H1JTTD2R94F
3R01,"Res, 3R01 Ohm, 2R94, 100mW, R0603",Yageo,RC0603FR-073R01P,Panasonic,ERJ-U03F3R01V,Koa-Speer,RK73H1JTTD3R01F
3R09,"Res, 3R09 Ohm, 3R01, 100mW, R0603",Yageo,RC0603FR-073R09P,Panasonic,ERJ-U03F3R09V,Koa-Speer,RK73H1JTTD3R09F
3R16,"Res, 3R16 Ohm, 3R09, 100mW, R0603",Yageo,RC0603FR-073R16P,Panasonic,ERJ-U03F3R16V,Koa-Speer,RK73H1JTTD3R16F
3R24,"Res, 3R24 Ohm, 3R16, 100mW, R0603",Yageo,RC0603FR-073R24P,Panasonic,ERJ-U03F3R24V,Koa-Speer,RK73H1JTTD3R24F
3R32,"Res, 3R32 Ohm, 3R24, 100mW, R0603",Yageo,RC0603FR-073R32P,Panasonic,ERJ-U03F3R32V,Koa-Speer,RK73H1JTTD3R32F
3R4,"Res, 3R4 Ohm, 3R32, 100mW, R0603",Yageo,RC0603FR-073R4P,Panasonic,ERJ-U03F3R40V,Koa-Speer,RK73H1JTTD3R40F
3R48,"Res, 3R48 Ohm, 3R4, 100mW, R0603",Yageo,RC0603FR-073R48P,Panasonic,ERJ-U03F3R48V,Koa-Speer,RK73H1JTTD3R48F
3R57,"Res, 3R57 Ohm, 3R48, 100mW, R0603",Yageo,RC0603FR-073R57P,Panasonic,ERJ-U03F3R57V,Koa-Speer,RK73H1JTTD3R57F
3R65,"Res, 3R65 Ohm, 3R57, 100mW, R0603",Yageo,RC0603FR-073R65P,Panasonic,ERJ-U03F3R65V,Koa-Speer,RK73H1JTTD3R65F
3R74,"Res, 3R74 Ohm, 3R65, 100mW, R0603",Yageo,RC0603FR-073R74P,Panasonic,ERJ-U03F3R74V,Koa-Speer,RK73H1JTTD3R74F
3R83,"Res, 3R83 Ohm, 3R74, 100mW, R0603",Yageo,RC0603FR-073R83P,Panasonic,ERJ-U03F3R83V,Koa-Speer,RK73H1JTTD3R83F
3R92,"Res, 3R92 Ohm, 3R83, 100mW, R0603",Yageo,RC0603FR-073R92P,Panasonic,ERJ-U03F3R92V,Koa-Speer,RK73H1JTTD3R92F
4R02,"Res, 4R02 Ohm, 3R92, 100mW, R0603",Yageo,RC0603FR-074R02P,Panasonic,ERJ-U03F4R02V,Koa-Speer,RK73H1JTTD4R02F
4R12,"Res, 4R12 Ohm, 4R02, 100mW, R0603",Yageo,RC0603FR-074R12P,Panasonic,ERJ-U03F4R12V,Koa-Speer,RK73H1JTTD4R12F
4R22,"Res, 4R22 Ohm, 4R12, 100mW, R0603",Yageo,RC0603FR-074R22P,Panasonic,ERJ-U03F4R22V,Koa-Speer,RK73H1JTTD4R22F
4R32,"Res, 4R32 Ohm, 4R22, 100mW, R0603",Yageo,RC0603FR-074R32P,Panasonic,ERJ-U03F4R32V,Koa-Speer,RK73H1JTTD4R32F
4R42,"Res, 4R42 Ohm, 4R32, 100mW, R0603",Yageo,RC0603FR-074R42P,Panasonic,ERJ-U03F4R42V,Koa-Speer,RK73H1JTTD4R42F
4R53,"Res, 4R53 Ohm, 4R42, 100mW, R0603",Yageo,RC0603FR-074R53P,Panasonic,ERJ-U03F4R53V,Koa-Speer,RK73H1JTTD4R53F
4R64,"Res, 4R64 Ohm, 4R53, 100mW, R0603",Yageo,RC0603FR-074R64P,Panasonic,ERJ-U03F4R64V,Koa-Speer,RK73H1JTTD4R64F
4R75,"Res, 4R75 Ohm, 4R64, 100mW, R0603",Yageo,RC0603FR-074R75P,Panasonic,ERJ-U03F4R75V,Koa-Speer,RK73H1JTTD4R75F
4R87,"Res, 4R87 Ohm, 4R75, 100mW, R0603",Yageo,RC0603FR-074R87P,Panasonic,ERJ-U03F4R87V,Koa-Speer,RK73H1JTTD4R87F
4R99,"Res, 4R99 Ohm, 4R87, 100mW, R0603",Yageo,RC0603FR-074R99P,Panasonic,ERJ-U03F4R99V,Koa-Speer,RK73H1JTTD4R99F
5R11,"Res, 5R11 Ohm, 4R99, 100mW, R0603",Yageo,RC0603FR-075R11P,Panasonic,ERJ-U03F5R11V,Koa-Speer,RK73H1JTTD5R11F
5R23,"Res, 5R23 Ohm, 5R11, 100mW, R0603",Yageo,RC0603FR-075R23P,Panasonic,ERJ-U03F5R23V,Koa-Speer,RK73H1JTTD5R23F
5R36,"Res, 5R36 Ohm, 5R23, 100mW, R0603",Yageo,RC0603FR-075R36P,Panasonic,ERJ-U03F5R36V,Koa-Speer,RK73H1JTTD5R36F
5R49,"Res, 5R49 Ohm, 5R36, 100mW, R0603",Yageo,RC0603FR-075R49P,Panasonic,ERJ-U03F5R49V,Koa-Speer,RK73H1JTTD5R49F
5R62,"Res, 5R62 Ohm, 5R49, 100mW, R0603",Yageo,RC0603FR-075R62P,Panasonic,ERJ-U03F5R62V,Koa-Speer,RK73H1JTTD5R62F
5R76,"Res, 5R76 Ohm, 5R62, 100mW, R0603",Yageo,RC0603FR-075R76P,Panasonic,ERJ-U03F5R76V,Koa-Speer,RK73H1JTTD5R76F
5R9,"Res, 5R9 Ohm, 5R76, 100mW, R0603",Yageo,RC0603FR-075R9P,Panasonic,ERJ-U03F5R90V,Koa-Speer,RK73H1JTTD5R90F
6R04,"Res, 6R04 Ohm, 5R9, 100mW, R0603",Yageo,RC0603FR-076R04P,Panasonic,ERJ-U03F6R04V,Koa-Speer,RK73H1JTTD6R04F
6R19,"Res, 6R19 Ohm, 6R04, 100mW, R0603",Yageo,RC0603FR-076R19P,Panasonic,ERJ-U03F6R19V,Koa-Speer,RK73H1JTTD6R19F
6R34,"Res, 6R34 Ohm, 6R19, 100mW, R0603",Yageo,RC0603FR-076R34P,Panasonic,ERJ-U03F6R34V,Koa-Speer,RK73H1JTTD6R34F
6R49,"Res, 6R49 Ohm, 6R34, 100mW, R0603",Yageo,RC0603FR-076R49P,Panasonic,ERJ-U03F6R49V,Koa-Speer,RK73H1JTTD6R49F
6R65,"Res, 6R65 Ohm, 6R49, 100mW, R0603",Yageo,RC0603FR-076R65P,Panasonic,ERJ-U03F6R65V,Koa-Speer,RK73H1JTTD6R65F
6R81,"Res, 6R81 Ohm, 6R65, 100mW, R0603",Yageo,RC0603FR-076R81P,Panasonic,ERJ-U03F6R81V,Koa-Speer,RK73H1JTTD6R81F
6R98,"Res, 6R98 Ohm, 6R81, 100mW, R0603",Yageo,RC0603FR-076R98P,Panasonic,ERJ-U03F6R98V,Koa-Speer,RK73H1JTTD6R98F
7R15,"Res, 7R15 Ohm, 6R98, 100mW, R0603",Yageo,RC0603FR-077R15P,Panasonic,ERJ-U03F7R15V,Koa-Speer,RK73H1JTTD7R15F
7R32,"Res, 7R32 Ohm, 7R15, 100mW, R0603",Yageo,RC0603FR-077R32P,Panasonic,ERJ-U03F7R32V,Koa-Speer,RK73H1JTTD7R32F
7R5,"Res, 7R5 Ohm, 7R32, 100mW, R0603",Yageo,RC0603FR-077R5P,Panasonic,ERJ-U03F7R50V,Koa-Speer,RK73H1JTTD7R50F
7R68,"Res, 7R68 Ohm, 7R5, 100mW, R0603",Yageo,RC0603FR-077R68P,Panasonic,ERJ-U03F7R68V,Koa-Speer,RK73H1JTTD7R68F
7R87,"Res, 7R87 Ohm, 7R68, 100mW, R0603",Yageo,RC0603FR-077R87P,Panasonic,ERJ-U03F7R87V,Koa-Speer,RK73H1JTTD7R87F
8R06,"Res, 8R06 Ohm, 7R87, 100mW, R0603",Yageo,RC0603FR-078R06P,Panasonic,ERJ-U03F8R06V,Koa-Speer,RK73H1JTTD8R06F
8R25,"Res, 8R25 Ohm, 8R06, 100mW, R0603",Yageo,RC0603FR-078R25P,Panasonic,ERJ-U03F8R25V,Koa-Speer,RK73H1JTTD8R25F
8R45,"Res, 8R45 Ohm, 8R25, 100mW, R0603",Yageo,RC0603FR-078R45P,Panasonic,ERJ-U03F8R45V,Koa-Speer,RK73H1JTTD8R45F
8R66,"Res, 8R66 Ohm, 8R45, 100mW, R0603",Yageo,RC0603FR-078R66P,Panasonic,ERJ-U03F8R66V,Koa-Speer,RK73H1JTTD8R66F
8R87,"Res, 8R87 Ohm, 8R66, 100mW, R0603",Yageo,RC0603FR-078R87P,Panasonic,ERJ-U03F8R87V,Koa-Speer,RK73H1JTTD8R87F
9R09,"Res, 9R09 Ohm, 8R87, 100mW, R0603",Yageo,RC0603FR-079R09P,Panasonic,ERJ-U03F9R09V,Koa-Speer,RK73H1JTTD9R09F
9R31,"Res, 9R31 Ohm, 9R09, 100mW, R0603",Yageo,RC0603FR-079R31P,Panasonic,ERJ-U03F9R31V,Koa-Speer,RK73H1JTTD9R31F
9R53,"Res, 9R53 Ohm, 9R31, 100mW, R0603",Yageo,RC0603FR-079R53P,Panasonic,ERJ-U03F9R53V,Koa-Speer,RK73H1JTTD9R53F
9R76,"Res, 9R76 Ohm, 9R53, 100mW, R0603",Yageo,RC0603FR-079R76P,Panasonic,ERJ-U03F9R76V,Koa-Speer,RK73H1JTTD9R76F
10R,"Res, 10R Ohm, 9R76, 100mW, R0603",Yageo,RC0603FR-0710RP,Panasonic,ERJ-U03F10R0V,Koa-Speer,RK73H1JTTD10R0F
10R2,"Res, 10R2 Ohm, 10R, 100mW, R0603",Yageo,RC0603FR-0710R2P,Panasonic,ERJ-U03F10R2V,Koa-Speer,RK73H1JTTD10R2F
10R5,"Res, 10R5 Ohm, 10R2, 100mW, R0603",Yageo,RC0603FR-0710R5P,Panasonic,ERJ-U03F10R5V,Koa-Speer,RK73H1JTTD10R5F
10R7,"Res, 10R7 Ohm, 10R5, 100mW, R0603",Yageo,RC0603FR-0710R7P,Panasonic,ERJ-U03F10R7V,Koa-Speer,RK73H1JTTD10R7F
11R,"Res, 11R Ohm, 10R7, 100mW, R0603",Yageo,RC0603FR-0711RP,Panasonic,ERJ-U03F11R0V,Koa-Speer,RK73H1JTTD11R0F
11R3,"Res, 11R3 Ohm, 11R, 100mW, R0603",Yageo,RC0603FR-0711R3P,Panasonic,ERJ-U03F11R3V,Koa-Speer,RK73H1JTTD11R3F
11R5,"Res, 11R5 Ohm, 11R3, 100mW, R0603",Yageo,RC0603FR-0711R5P,Panasonic,ERJ-U03F11R5V,Koa-Speer,RK73H1JTTD11R5F
11R8,"Res, 11R8 Ohm, 11R5, 100mW, R0603",Yageo,RC0603FR-0711R8P,Panasonic,ERJ-U03F11R8V,Koa-Speer,RK73H1JTTD11R8F
12R1,"Res, 12R1 Ohm, 11R8, 100mW, R0603",Yageo,RC0603FR-0712R1P,Panasonic,ERJ-U03F12R1V,Koa-Speer,RK73H1JTTD12R1F
12R4,"Res, 12R4 Ohm, 12R1, 100mW, R0603",Yageo,RC0603FR-0712R4P,Panasonic,ERJ-U03F12R4V,Koa-Speer,RK73H1JTTD12R4F
12R7,"Res, 12R7 Ohm, 12R4, 100mW, R0603",Yageo,RC0603FR-0712R7P,Panasonic,ERJ-U03F12R7V,Koa-Speer,RK73H1JTTD12R7F
13R,"Res, 13R Ohm, 12R7, 100mW, R0603",Yageo,RC0603FR-0713RP,Panasonic,ERJ-U03F13R0V,Koa-Speer,RK73H1JTTD13R0F
13R3,"Res, 13R3 Ohm, 13R, 100mW, R0603",Yageo,RC0603FR-0713R3P,Panasonic,ERJ-U03F13R3V,Koa-Speer,RK73H1JTTD13R3F
13R7,"Res, 13R7 Ohm, 13R3, 100mW, R0603",Yageo,RC0603FR-0713R7P,Panasonic,ERJ-U03F13R7V,Koa-Speer,RK73H1JTTD13R7F
14R,"Res, 14R Ohm, 13R7, 100mW, R0603",Yageo,RC0603FR-0714RP,Panasonic,ERJ-U03F14R0V,Koa-Speer,RK73H1JTTD14R0F
14R3,"Res, 14R3 Ohm, 14R, 100mW, R0603",Yageo,RC0603FR-0714R3P,Panasonic,ERJ-U03F14R3V,Koa-Speer,RK73H1JTTD14R3F
14R7,"Res, 14R7 Ohm, 14R3, 100mW, R0603",Yageo,RC0603FR-0714R7P,Panasonic,ERJ-U03F14R7V,Koa-Speer,RK73H1JTTD14R7F
15R,"Res, 15R Ohm, 14R7, 100mW, R0603",Yageo,RC0603FR-0715RP,Panasonic,ERJ-U03F15R0V,Koa-Speer,RK73H1JTTD15R0F
15R4,"Res, 15R4 Ohm, 15R, 100mW, R0603",Yageo,RC0603FR-0715R4P,Panasonic,ERJ-U03F15R4V,Koa-Speer,RK73H1JTTD15R4F
15R8,"Res, 15R8 Ohm, 15R4, 100mW, R0603",Yageo,RC0603FR-0715R8P,Panasonic,ERJ-U03F15R8V,Koa-Speer,RK73H1JTTD15R8F
16R2,"Res, 16R2 Ohm, 15R8, 100mW, R0603",Yageo,RC0603FR-0716R2P,Panasonic,ERJ-U03F16R2V,Koa-Speer,RK73H1JTTD16R2F
16R5,"Res, 16R5 Ohm, 16R2, 100mW, R0603",Yageo,RC0603FR-0716R5P,Panasonic,ERJ-U03F16R5V,Koa-Speer,RK73H1JTTD16R5F
16R9,"Res, 16R9 Ohm, 16R5, 100mW, R0603",Yageo,RC0603FR-0716R9P,Panasonic,ERJ-U03F16R9V,Koa-Speer,RK73H1JTTD16R9F
17R4,"Res, 17R4 Ohm, 16R9, 100mW, R0603",Yageo,RC0603FR-0717R4P,Panasonic,ERJ-U03F17R4V,Koa-Speer,RK73H1JTTD17R4F
17R8,"Res, 17R8 Ohm, 17R4, 100mW, R0603",Yageo,RC0603FR-0717R8P,Panasonic,ERJ-U03F17R8V,Koa-Speer,RK73H1JTTD17R8F
18R2,"Res, 18R2 Ohm, 17R8, 100mW, R0603",Yageo,RC0603FR-0718R2P,Panasonic,ERJ-U03F18R2V,Koa-Speer,RK73H1JTTD18R2F
18R7,"Res, 18R7 Ohm, 18R2, 100mW, R0603",Yageo,RC0603FR-0718R7P,Panasonic,ERJ-U03F18R7V,Koa-Speer,RK73H1JTTD18R7F
19R1,"Res, 19R1 Ohm, 18R7, 100mW, R0603",Yageo,RC0603FR-0719R1P,Panasonic,ERJ-U03F19R1V,Koa-Speer,RK73H1JTTD19R1F
19R6,"Res, 19R6 Ohm, 19R1, 100mW, R0603",Yageo,RC0603FR-0719R6P,Panasonic,ERJ-U03F19R6V,Koa-Speer,RK73H1JTTD19R6F
20R,"Res, 20R Ohm, 19R6, 100mW, R0603",Yageo,RC0603FR-0720RP,Panasonic,ERJ-U03F20R0V,Koa-Speer,RK73H1JTTD20R0F
20R5,"Res, 20R5 Ohm, 20R, 100mW, R0603",Yageo,RC0603FR-0720R5P,Panasonic,ERJ-U03F20R5V,Koa-Speer,RK73H1JTTD20R5F
21R,"Res, 21R Ohm, 20R5, 100mW, R0603",Yageo,RC0603FR-0721RP,Panasonic,ERJ-U03F21R0V,Koa-Speer,RK73H1JTTD21R0F
21R5,"Res, 21R5 Ohm, 21R, 100mW, R0603",Yageo,RC0603FR-0721R5P,Panasonic,ERJ-U03F21R5V,Koa-Speer,RK73H1JTTD21R5F
22R1,"Res, 22R1 Ohm, 21R5, 100mW, R0603",Yageo,RC0603FR-0722R1P,Panasonic,ERJ-U03F22R1V,Koa-Speer,RK73H1JTTD22R1F
22R6,"Res, 22R6 Ohm, 22R1, 100mW, R0603",Yageo,RC0603FR-0722R6P,Panasonic,ERJ-U03F22R6V,Koa-Speer,RK73H1JTTD22R6F
23R2,"Res, 23R2 Ohm, 22R6, 100mW, R0603",Yageo,RC0603FR-0723R2P,Panasonic,ERJ-U03F23R2V,Koa-Speer,RK73H1JTTD23R2F
23R7,"Res, 23R7 Ohm, 23R2, 100mW, R0603",Yageo,RC0603FR-0723R7P,Panasonic,ERJ-U03F23R7V,Koa-Speer,RK73H1JTTD23R7F
24R3,"Res, 24R3 Ohm, 23R7, 100mW, R0603",Yageo,RC0603FR-0724R3P,Panasonic,ERJ-U03F24R3V,Koa-Speer,RK73H1JTTD24R3F
24R9,"Res, 24R9 Ohm, 24R3, 100mW, R0603",Yageo,RC0603FR-0724R9P,Panasonic,ERJ-U03F24R9V,Koa-Speer,RK73H1JTTD24R9F
25R5,"Res, 25R5 Ohm, 24R9, 100mW, R0603",Yageo,RC0603FR-0725R5P,Panasonic,ERJ-U03F25R5V,Koa-Speer,RK73H1JTTD25R5F
26R1,"Res, 26R1 Ohm, 25R5, 100mW, R0603",Yageo,RC0603FR-0726R1P,Panasonic,ERJ-U03F26R1V,Koa-Speer,RK73H1JTTD26R1F
26R7,"Res, 26R7 Ohm, 26R1, 100mW, R0603",Yageo,RC0603FR-0726R7P,Panasonic,ERJ-U03F26R7V,Koa-Speer,RK73H1JTTD26R7F
27R4,"Res, 27R4 Ohm, 26R7, 100mW, R0603",Yageo,RC0603FR-0727R4P,Panasonic,ERJ-U03F27R4V,Koa-Speer,RK73H1JTTD27R4F
28R,"Res, 28R Ohm, 27R4, 100mW, R0603",Yageo,RC0603FR-0728RP,Panasonic,ERJ-U03F28R0V,Koa-Speer,RK73H1JTTD28R0F
28R7,"Res, 28R7 Ohm, 28R, 100mW, R0603",Yageo,RC0603FR-0728R7P,Panasonic,ERJ-U03F28R7V,Koa-Speer,RK73H1JTTD28R7F
29R4,"Res, 29R4 Ohm, 28R7, 100mW, R0603",Yageo,RC0603FR-0729R4P,Panasonic,ERJ-U03F29R4V,Koa-Speer,RK73H1JTTD29R4F
30R1,"Res, 30R1 Ohm, 29R4, 100mW, R0603",Yageo,RC0603FR-0730R1P,Panasonic,ERJ-U03F30R1V,Koa-Speer,RK73H1JTTD30R1F
30R9,"Res, 30R9 Ohm, 30R1, 100mW, R0603",Yageo,RC0603FR-0730R9P,Panasonic,ERJ-U03F30R9V,Koa-Speer,RK73H1JTTD30R9F
31R6,"Res, 31R6 Ohm, 30R9, 100mW, R0603",Yageo,RC0603FR-0731R6P,Panasonic,ERJ-U03F31R6V,Koa-Speer,RK73H1JTTD31R6F
32R4,"Res, 32R4 Ohm, 31R6, 100mW, R0603",Yageo,RC0603FR-0732R4P,Panasonic,ERJ-U03F32R4V,Koa-Speer,RK73H1JTTD32R4F
33R2,"Res, 33R2 Ohm, 32R4, 100mW, R0603",Yageo,RC0603FR-0733R2P,Panasonic,ERJ-U03F33R2V,Koa-Speer,RK73H1JTTD33R2F
34R,"Res, 34R Ohm, 33R2, 100mW, R0603",Yageo,RC0603FR-0734RP,Panasonic,ERJ-U03F34R0V,Koa-Speer,RK73H1JTTD34R0F
34R8,"Res, 34R8 Ohm, 34R, 100mW, R0603",Yageo,RC0603FR-0734R8P,Panasonic,ERJ-U03F34R8V,Koa-Speer,RK73H1JTTD34R8F
35R7,"Res, 35R7 Ohm, 34R8, 100mW, R0603",Yageo,RC0603FR-0735R7P,Panasonic,ERJ-U03F35R7V,Koa-Speer,RK73H1JTTD35R7F
36R5,"Res, 36R5 Ohm, 35R7, 100mW, R0603",Yageo,RC0603FR-0736R5P,Panasonic,ERJ-U03F36R5V,Koa-Speer,RK73H1JTTD36R5F
37R4,"Res, 37R4 Ohm, 36R5, 100mW, R0603",Yageo,RC0603FR-0737R4P,Panasonic,ERJ-U03F37R4V,Koa-Speer,RK73H1JTTD37R4F
38R3,"Res, 38R3 Ohm, 37R4, 100mW, R0603",Yageo,RC0603FR-0738R3P,Panasonic,ERJ-U03F38R3V,Koa-Speer,RK73H1JTTD38R3F
39R2,"Res, 39R2 Ohm, 38R3, 100mW, R0603",Yageo,RC0603FR-0739R2P,Panasonic,ERJ-U03F39R2V,Koa-Speer,RK73H1JTTD39R2F
